rating_text,rating,foodie_level_num,review_time_friendly,id,likes,review_text
Great!,4,3,17 days ago,2400250,0,"Always been one of the best confectioners in the town. Their pastries, burgers, breads, self made chocs... Are finger licking good... I have..."
Insane!,5,4,one month ago,2400250,1,"My friends had ordered a cake from paradise confectioner for my birthday, and it was not just a beauty to look at. The chocolate feel which ..."
Avoid!,1,3,one month ago,2400250,0,This restaurant is pathetic with non-baked items...I ordered Chicken roll once...the roll was like chewing gum..very hard to chew and digest...
Great!,4,5,one month ago,2400250,2,"Best bakery ,I explored . They had variety of pastries and much more . Overall good experience. At last we had had double scoop of mango and..."
Insane!,5,5,yesterday,2400016,0,It's great.. We've always loved this old yet our still favorite restaurant❤️ 💸Very affordable.❤️ . 🍜 Chicken Chowmein: tastes ...
Insane!,5,2,7 days ago,2400016,0,Best things to eat here is burgers. The taste is delicious and worth every penny. Even pizzas are far better than the pizza we eat in domino...
Blah!,2,11,one month ago,2400016,0,Went to this place a long time ago with a bunch of friends since we had heard a lot of buzz about this place. The place is known for fast fo...
Great!,4,5,2 months ago,2400016,0,Pizza here is quite gud and toppings are well placed. Food is quiye gud. Nice place for celebration and get together with friends. One must ...
Average,3,3,3 months ago,2400016,0,"Simple ambience, menu is loaded but i don't suggest any one for the main course, yes but i have to say all the combos and quick bites on the..."
Avoid!,1,2,5 days ago,2400510,0,"Worst place ever. They have degraded Thier services over the time. I have been found of Thier food ever since it opened , but this night whe..."
Insane!,5,3,26 days ago,2400510,0,Amaizing food. A very good ambience and polite staff as well. The prices are a little bit towards the higher end but its worthy. One of the ...
Great!,4,5,one month ago,2400510,0,"Classy ambiance , comfortable seatings and good music all together makes this place a perfect spot to hangout .  They serve North Indian , C..."
Great!,4,4,one month ago,2400510,1,The ambience and the vibe that filled the room was that of sophistication and difference. The menu consisted of a lot of variations to Itali...
Great!,4,9,one month ago,2400510,3,"Decent ambience, modern interior, well trained staff, service can be improved if they serve food faster. Food is good and priced from averag..."
Avoid!,1,2,6 days ago,18708091,0,The trick this restaurant plays is that it reduces the quantiy for online delivery. Also it does not show size or the no. of pieces of chick...
Avoid!,1,2,7 days ago,18708091,0,"My order is biryani & the Taste and quality of biryani are bad very less quantity delivered please improve your taste, quality & quantity al..."
Avoid!,1,2,11 days ago,18708091,0,"Totaly west biryani ,tast less ,unbake, rice and piece lastless dont buy tnt try no salt no masala rayta is also tastless spoon is also poor..."
Avoid!,1,3,17 days ago,18708091,0,
Insane!,5,2,17 days ago,18708091,0,I loved the food.Awesome Mutton and Chicken. One of the best in Allahabad. Biryani was too good. I am regular eater. I would Highly Recommen...
Insane!,5,2,14 days ago,18972306,0,Excellent in taste.. Fabulous in ambiance. Good plantation in the lounge gives natural look.. Fast and free home delivery.. Pic : Murgh musa...
