"srno","id","name","url","address","locality","city","city_id","latitude","longitude","locality_verbose","cuisines","average_cost_for_two","price_range","currency","aggregate_rating","rating_text","rating_color","votes","has_fake_reviews","has_online_delivery","is_table_reservation_supported","has_table_booking"
"522","18973203","Majeed Restaurant","https://www.zomato.com/mathura/majeed-restaurant-1-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Bharatpur Gate, Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5024023393","77.6761528105","Mathura Locality, Mathura","Mughlai, Afghan","300","1","Rs.","0","Not rated","CBCBC8","2","0","1","0","0"
"523","18875890","Wah JI Wah Restaurant","https://www.zomato.com/mathura/wah-ji-wah-restaurant-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Mant Wali Bagichi Ghovardhan Road, Krishna Nagar, Mathura - 281004, Mant Wali Bagichi, Near Goverdhan Chauraha, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5009094461","77.6552523673","Mathura Locality, Mathura","Chinese","350","2","Rs.","3.4","Average","CDD614","4","0","1","0","0"
"524","18973198","Ratan Moti's","https://www.zomato.com/mathura/ratan-motis-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Mahavidya Mandir Road Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5095132290","77.6684300601","Mathura Locality, Mathura","North Indian, Indian, Fast Food","200","1","Rs.","0","Not rated","CBCBC8","3","0","1","0","0"
"525","18974567","Modi's Baker's Zone ","https://www.zomato.com/mathura/modis-bakers-zone-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","215/57A Ashoka Tower Krishna Nagar, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5028290889","77.6562967524","Mathura Locality, Mathura","Bakery, Cafe, Fast Food","300","1","Rs.","3.7","Good","9ACD32","4","0","1","0","0"
"526","18951021","Domino's Pizza","https://www.zomato.com/mathura/dominos-pizza-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","S.J.P. Plaza, Androon Mauja, Bangar Dist, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4931800000","77.6548230000","Mathura Locality, Mathura","Fast Food, Pizza","400","2","Rs.","2.9","Average","FFBA00","4","0","0","0","0"
"527","18965880","Himanshi Confectionery ","https://www.zomato.com/mathura/himanshi-confectionery-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Masani Chauraha, NPP, Zone 3, Nagar Palika, Food Safety Zone-3, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5091058343","77.6716658100","Mathura Locality, Mathura","Bakery, Fast Food","100","1","Rs.","3.2","Average","CDD614","4","0","1","0","0"
"528","18968927","Banshi Chat","https://www.zomato.com/mathura/banshi-chat-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Krishna Plaza Krishna Nagar Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5006194894","77.6557002962","Mathura Locality, Mathura","Fast Food","100","1","Rs.","0","Not rated","CBCBC8","3","0","1","0","0"
"529","18990085","Banshiwala Restaurant ","https://www.zomato.com/mathura/banshiwala-restaurant-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Shri Krishna Janmabhoomi, Near Kotra Kunda Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5034211826","77.6679797843","Mathura Locality, Mathura","South Indian, North Indian, Indian","250","1","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"530","18973199","The Chilli Restaurant ","https://www.zomato.com/mathura/the-chilli-restaurant-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Bhuteshwar Road Near Petrol pump Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4987039716","77.6694549993","Mathura Locality, Mathura","North Indian, Mughlai, Fast Food","200","1","Rs.","0","Not rated","CBCBC8","1","0","1","0","0"
"531","18875979","Baba DA Dhaba","https://www.zomato.com/mathura/baba-da-dhaba-1-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","New Bus Stand Mathura, New Bus Stand, MATHURA - 281001, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4920025197","77.6770288870","Mathura Locality, Mathura","South Indian, North Indian, Indian","250","1","Rs.","0","Not rated","CBCBC8","2","0","0","0","0"
