cuisines,has_online_delivery,is_book_form_web_view,votes,name,switch_to_order_menu,has_table_booking,currency,rating_text,city_id,average_cost_for_two,has_fake_reviews,price_range,address,locality_verbose,aggregate_rating,latitude,country_id,is_table_reservation_supported,rating_color,url,longitude
"Healthy Food, Salad, Fast Food",1,0,170,Subway,0,0,Rs.,Very Good,24,500,0,3,"207/53, Mahatma Gandhi Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.0,25.4501915269,1,0,5BA829,https://www.zomato.com/allahabad/subway-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8339630216
"Cafe, Beverages, Bakery",1,0,291,Malt,0,0,Rs.,Excellent,24,300,0,2,"Om Sharda Complex, Opposite Akash Puri Colony, Ashok Nagar, Allahabad","Ashok Nagar, Allahabad",4.7,25.4677207511,1,0,3F7E00,https://www.zomato.com/allahabad/malt-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8226799741
"Bakery, Italian, Continental, Desserts",1,0,64,7th Heaven,0,0,Rs.,Very Good,24,200,0,1,"128B/24/6A, Mahatma Gandhi Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.1,25.4509577611,1,0,5BA829,https://www.zomato.com/allahabad/7th-heaven-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8311906233
"Desserts, Mithai",0,0,206,Netram Mulchand & Sons,0,0,Rs.,Very Good,24,300,0,2,"259, Katra Chouraha, Katra, Allahabad","Katra, Allahabad",4.1,25.4646511000,1,0,5BA829,https://www.zomato.com/allahabad/netram-mulchand-sons-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.7820477000
Cafe,1,0,83,BrewBakes,0,0,Rs.,Good,24,500,0,3,"45/A/1A/4, Dayanand Marg, Near Dhobi Petrol Pump Chauraha, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4597093170,1,0,9ACD32,https://www.zomato.com/allahabad/brewbakes-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8388701230
Chinese,1,0,60,Prayag Food Plaza,0,0,Rs.,Very Good,24,300,0,2,"143/21-B, Madan Mohan Malviya Road, George Town, Allahabad","George Town, Allahabad",4.0,25.4507637054,1,0,5BA829,https://www.zomato.com/allahabad/prayag-food-plaza-george-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8609202281
"Cafe, Fast Food",1,0,171,Bean Here,0,0,Rs.,Good,24,350,0,2,"Vinayak Pushp, 77 Elgin Road, Near Florista, Civil Lines, Allahabad","Civil Lines, Allahabad",3.9,25.4531053705,1,0,9ACD32,https://www.zomato.com/allahabad/bean-here-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8328210711
"North Indian, Chinese, Continental",1,0,141,Celebrations,0,0,Rs.,Good,24,600,0,3,"3D/1, Near Prithvi Garden, Cooper Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.7,25.4540165944,1,0,9ACD32,https://www.zomato.com/allahabad/celebrations-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8370539323
Cafe,1,0,100,Coffee Calling,0,0,Rs.,Good,24,400,0,2,"Vinayak Central Plaza, Behind Big Bazar, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4512453625,1,0,9ACD32,https://www.zomato.com/allahabad/coffee-calling-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8367478251
"Biryani, North Indian, Finger Food",1,0,146,Barcode,0,0,Rs.,Average,24,1400,0,4,"22/B, Sardar Patel Marg, Civil Lines, Allahabad, Uttar Pradesh 211001, India","Civil Lines, Allahabad",3.4,25.4548379009,1,0,CDD614,https://www.zomato.com/allahabad/barcode-3-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8350392580
"North Indian, South Indian, Chinese, Fast Food",0,0,192,Makkhan's Restaurant,0,0,Rs.,Very Good,24,450,0,2,"39/41, Meera Patti, G T Road, Transport Nagar, Near Dhoomanganj, Allahabad","Dhoomanganj, Allahabad",4.0,25.4497313602,1,0,5BA829,https://www.zomato.com/allahabad/makkhans-restaurant-dhoomanganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.7706635594
Mithai,1,0,148,Kamdhenu,0,0,Rs.,Very Good,24,400,0,2,"Elgin Road, Civil Lines, Allahabad","Civil Lines, Allahabad",4.1,25.4532250000,1,0,5BA829,https://www.zomato.com/allahabad/kamdhenu-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8329060000
North Indian,1,0,134,9280 The Family Restaurant,0,0,Rs.,Good,24,600,0,3,"10/14, Elgin Road, Civil Lines, Allahabad, Uttar Pradesh, India","Civil Lines, Allahabad",3.9,25.4528062696,1,0,9ACD32,https://www.zomato.com/allahabad/9280-the-family-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8408754095
"Mughlai, North Indian, Chinese",1,0,146,Moti Mahal Delux,0,0,Rs.,Very Good,24,600,0,3,"Second Floor, Vinayak City Center Mall, SP Marg, Civil Lines, Allahabad","Vinayak City Centre Mall, Civil Lines, Allahabad",4.0,25.4546205413,1,0,5BA829,https://www.zomato.com/allahabad/moti-mahal-delux-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8346456438
"Mughlai, North Indian, Chinese, South Indian",1,0,83,Moti Mahal Delux Tandoori Trail,0,0,Rs.,Good,24,800,0,3,"Shop 18A, Second Floor, Sardar Patel Marg, Above HDFC Bank, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4598222303,1,0,9ACD32,https://www.zomato.com/allahabad/moti-mahal-delux-tandoori-trail-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8356451020
Desserts,1,0,123,Kamdhenu Sweets,0,0,Rs.,Very Good,24,400,0,2,"37, MG Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.2,25.4504264534,1,0,5BA829,https://www.zomato.com/allahabad/kamdhenu-sweets-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8321894109
"Beverages, Ice Cream, Desserts",1,0,75,Keventers,0,0,Rs.,Very Good,24,400,0,2,"202/45, MG Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.1,25.4502693312,1,0,5BA829,https://www.zomato.com/allahabad/keventers-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8335325271
"North Indian, Chinese",1,0,62,Bliss Restro,0,0,Rs.,Good,24,500,0,3,"262, Araman Market, Mahewa, Naini, Allahabad","Naini, Allahabad",3.5,25.4100959364,1,0,9ACD32,https://www.zomato.com/allahabad/bliss-restro-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8446167558
South Indian,0,0,162,Dosa Plaza,0,0,Rs.,Very Good,24,400,0,2,"9, Under Ground , VV Tower, Tashkand Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.0,25.4530181833,1,0,5BA829,https://www.zomato.com/allahabad/dosa-plaza-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8327841908
"North Indian, South Indian, Chinese, Fast Food",1,0,130,Gay Time Family Restaurant,0,0,Rs.,Good,24,500,0,3,"Shop 1-3, Elgin Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.7,25.4528970898,1,0,9ACD32,https://www.zomato.com/allahabad/gay-time-family-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8366070092
North Indian,0,0,99,The Second Wife,0,0,Rs.,Average,24,500,0,3,"0/18/1B, Lowther Road, George Town, George Town, Allahabad","George Town, Allahabad",2.6,25.4491945978,1,0,FFBA00,https://www.zomato.com/allahabad/the-second-wife-george-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8542311341
North Indian,1,0,103,Shamiana's,0,0,Rs.,Good,24,300,0,2,"Manorama Complex, MG Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",3.6,25.4502841655,1,0,9ACD32,https://www.zomato.com/allahabad/shamianas-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8329588696
North Indian,1,0,17,Nawab Ki Rasoi,0,0,Rs.,Average,24,250,0,2,"Dhobi Ghat, Opposite Petrol Pump, Sheeshah, Mahal Tower, Civil Lines, Allahabad","Civil Lines, Allahabad",3.4,25.4593330000,1,0,CDD614,https://www.zomato.com/allahabad/nawab-ki-rasoi-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8380000000
"Mithai, North Indian, Street Food",1,0,50,Shree Kanha Sweets & Restaurant,0,0,Rs.,Very Good,24,500,0,3,"Lowther Road, George Town, Allahabad","George Town, Allahabad",4.0,25.4490299054,1,0,5BA829,https://www.zomato.com/allahabad/shree-kanha-sweets-restaurant-george-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8545027077
"Rolls, Fast Food",1,0,100,Rolls Mania,0,0,Rs.,Good,24,450,0,2,"76-A, Muir Road, Opposite Rishikul Inter College, Ashok Nagar, Allahabad","Ashok Nagar, Allahabad",3.9,25.4669101270,1,0,9ACD32,https://www.zomato.com/allahabad/rolls-mania-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8252146617
